one,two,three,four,five,six,seven,eight,nine,ten
0.50034,0.53568,0.63705,0.72726,0.79236,0.81747,0.79515,0.88722,0.86118,0.93
0.50034,0.53568,0.63705,0.72726,0.79236,0.81747,0.79515,0.88722,0.86118,0.93
0.46872,0.5301,0.6324,0.71703,0.80259,0.82398,0.87606,0.85932,0.90303,0.91605
0.46872,0.5301,0.6324,0.71703,0.80259,0.82398,0.87606,0.85932,0.90303,0.91605
0.48639,0.47709,0.55242,0.61566,0.63705,0.71331,0.78306,0.83235,0.88257,0.73377
0.48639,0.47709,0.55242,0.61566,0.63705,0.71331,0.78306,0.83235,0.88257,0.73377
0.3813,0.40734,0.45198,0.4743,0.50778,0.55149,0.56358,0.53847,0.744,0.59148
0.3813,0.40734,0.45198,0.4743,0.50778,0.55149,0.56358,0.53847,0.744,0.59148
0.33015,0.31713,0.37665,0.39525,0.39897,0.49941,0.47709,0.5115,0.39153,0.50685
0.33015,0.31713,0.37665,0.39525,0.39897,0.49941,0.47709,0.5115,0.39153,0.50685
0.26784,0.29853,0.3534,0.35712,0.42315,0.43245,0.44082,0.48453,0.3348,0.42315
0.26784,0.29853,0.3534,0.35712,0.42315,0.43245,0.44082,0.48453,0.3348,0.42315
0.5115,0.31527,0.38874,0.37107,0.38409,0.37851,0.39153,0.52452,0.4557,0.42594
0.5115,0.31527,0.38874,0.37107,0.38409,0.37851,0.39153,0.52452,0.4557,0.42594
0.34875,0.35991,0.33108,0.35991,0.37386,0.40548,0.43803,0.46965,0.45012,0.40827
0.34875,0.35991,0.33108,0.35991,0.37386,0.40548,0.43803,0.46965,0.45012,0.40827
0.465,0.35991,0.33294,0.40548,0.3813,0.42129,0.40362,0.41943,0.43524,0.43524
0.465,0.35991,0.33294,0.40548,0.3813,0.42129,0.40362,0.41943,0.43524,0.43524
0.35433,0.34317,0.33666,0.36084,0.37293,0.39246,0.41664,0.42315,0.4278,0.42315
0.35433,0.34317,0.33666,0.36084,0.37293,0.39246,0.41664,0.42315,0.4278,0.42315
0.49197,0.34689,0.3534,0.38967,0.38037,0.41571,0.40827,0.42408,0.4464,0.40827
0.49197,0.34689,0.3534,0.38967,0.38037,0.41571,0.40827,0.42408,0.4464,0.40827
0.319176,0.340008,0.329034,0.365769,0.375999,0.386136,0.397017,0.4072005,0.4175886,0.4279767
0.319176,0.340008,0.329034,0.365769,0.375999,0.386136,0.397017,0.4072005,0.4175886,0.4279767
0.31186,0.335172,0.322524,0.363816,0.375162,0.383532,0.389112,0.39897,0.4073958,0.4158216
0.31186,0.335172,0.322524,0.363816,0.375162,0.383532,0.389112,0.39897,0.4073958,0.4158216
0.304544,0.330336,0.316014,0.361863,0.374325,0.380928,0.381207,0.3907395,0.397203,0.4036665
0.304544,0.330336,0.316014,0.361863,0.374325,0.380928,0.381207,0.3907395,0.397203,0.4036665
0.297228,0.3255,0.309504,0.35991,0.373488,0.378324,0.373302,0.382509,0.3870102,0.3915114
0.297228,0.3255,0.309504,0.35991,0.373488,0.378324,0.373302,0.382509,0.3870102,0.3915114
0.289912,0.320664,0.302994,0.357957,0.372651,0.37572,0.365397,0.3742785,0.3768174,0.3793563
0.289912,0.320664,0.302994,0.357957,0.372651,0.37572,0.365397,0.3742785,0.3768174,0.3793563
0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186
0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186
