Team,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penn,AJ Brodeur,27,27,934,26.5,0.555,0.527,0.168,0.295,516,7.3,20,13.9,31,1.7,4.7,15.1,26.7,,3,1.8,4.7,0.202,,5,2.6,7.6
Penn,Devon Goodman,27,27,981,14.4,0.523,0.511,0.417,0.255,362,1.4,8.6,5.1,16.3,2.4,0.7,15,21.2,,1.1,1.3,2.4,0.098,,-1.2,0.5,-0.6
Penn,Ryan Betley,22,22,671,16.2,0.563,0.545,0.642,0.151,226,1.5,18.3,10.3,7.9,1.9,1,10.6,19.1,,1,1.1,2.1,0.127,,0.5,0.3,0.8
Penn,Max Martz,26,14,621,14.5,0.617,0.604,0.601,0.108,191,6.6,10,8.4,4.6,0.5,0.6,9.3,14.8,,1.4,0.6,2,0.128,,0.9,-1.8,-1
Penn,Jordan Dingle,25,20,783,13,0.521,0.512,0.568,0.203,318,2.3,9.2,5.9,13.8,1.4,0.1,16.5,25,,0.6,0.9,1.4,0.072,,0.3,-1.3,-0.9
Penn,Eddie Scott,25,11,439,12.8,0.618,0.598,0.585,0.366,118,4.1,15.4,10,8.5,1.1,0.2,16.5,13.2,,0.7,0.6,1.3,0.119,,-0.8,0.2,-0.7
Penn,Lucas Monroe,27,4,401,12,0.549,0.524,0.254,0.667,101,5.1,17.9,11.8,9.8,2.2,2.7,25.2,13.9,,0.2,0.7,1,0.097,,-3.4,2,-1.5
Penn,Ray Jerome,19,5,257,7.1,0.493,0.452,0.643,0.286,49,1.8,8.5,5.3,8.1,2,0.7,20.1,11.7,,0.1,0.3,0.4,0.057,,-3.3,0.8,-2.6
Penn,Jarrod Simmons,26,4,172,7.3,0.511,0.439,0.394,0.455,48,9.2,12.1,10.7,6.7,0.3,2.1,27.2,16.1,,0,0.2,0.2,0.057,,-6,-1,-6.9
