Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,
Penn,AJ Brodeur,27,27,934,11.1,22.1,0.504,10.1,18.4,0.55,1,3.7,0.274,4.7,6.5,0.716,14.4,8.4,1.7,2.9,4.5,3.6,27.9,,112.3,94.9,
Penn,Jordan Dingle,25,20,783,8.8,21.1,0.416,4.7,9.1,0.516,4.1,12,0.339,2.5,4.3,0.583,6.1,4.1,1.4,0.1,4.6,3.4,24.1,,94.9,103,
Penn,Alex Imegwu,5,0,10,5.6,11.2,0.5,0,0,,5.6,11.2,0.5,5.6,11.2,0.5,5.6,5.6,0,0,0,0,22.4,,150.3,106,
Penn,Max Lorca-Lloyd,9,0,31,10.8,19.8,0.545,10.8,19.8,0.545,0,0,,0,0,,25.2,7.2,0,5.4,7.2,7.2,21.6,,98.7,90.4,
Penn,Ryan Betley,22,22,671,7.6,17.7,0.429,3.5,6.3,0.553,4.1,11.3,0.36,2.1,2.7,0.781,10.6,2.4,1.9,0.6,2.2,3,21.3,,106.9,97.7,
Penn,Devon Goodman,27,27,981,8.1,17.9,0.452,6,10.4,0.574,2.1,7.5,0.282,2.7,4.6,0.588,5.3,4.9,2.4,0.5,3.5,3.5,21,,99.9,100.5,
Penn,Bryce Washington,9,1,102,8.2,21.4,0.385,4.9,8.2,0.6,3.3,13.1,0.25,0.5,0.5,1,9.9,1.6,2.2,0,5.5,4.4,20.3,,80.9,99.6,
Penn,Griffin Ryan,5,0,17,6.6,13.1,0.5,3.3,6.6,0.5,3.3,6.6,0.5,3.3,9.9,0.333,3.3,3.3,0,0,3.3,6.6,19.7,,104.5,109.7,
Penn,Max Martz,26,14,621,6.7,14.2,0.475,3.1,5.7,0.54,3.7,8.5,0.432,1.3,1.5,0.824,8.6,1.4,0.4,0.4,1.5,3.6,18.4,,121.1,104.5,
Penn,Eddie Scott,25,11,439,5.3,10.4,0.512,3.6,4.3,0.824,1.8,6.1,0.292,2.7,3.8,0.7,10.3,2.8,1.1,0.1,2.4,5.3,15.1,,114.8,100.9,
Penn,Jarrod Simmons,26,4,172,4.2,10.7,0.394,3.2,6.5,0.5,1,4.2,0.231,3.9,4.9,0.8,11,2.3,0.3,1.3,4.9,9.4,13.3,,92.1,102.5,
Penn,Lucas Monroe,27,4,401,4.2,8.8,0.476,3.3,6.6,0.511,0.8,2.2,0.375,3.5,5.9,0.595,12.1,3.3,2.2,1.7,3.9,6.4,12.7,,97.7,95.7,
Penn,Ray Jerome,19,5,257,3.3,9.1,0.357,1.5,3.3,0.467,1.7,5.9,0.296,2,2.6,0.75,5.4,2.8,2,0.4,2.6,4.1,10.2,,92.4,101.6,
Penn,Mark Jackson,2,0,6,0,0,,0,0,,0,0,,0,18.6,0,18.6,0,0,0,18.6,9.3,0,,39.1,109.5,
Harvard,Bryce Aiken,7,6,179,11.4,27.6,0.412,7.1,15.9,0.449,4.2,11.7,0.361,11,12.6,0.872,4.2,3.9,2.9,0,8.4,5.2,37.9,,100.1,98.4,
Harvard,Idan Tretout,16,0,119,10.7,24.4,0.44,8.8,16.6,0.529,2,7.8,0.25,6.3,8.3,0.765,5.4,5.9,2.4,1,2.4,5.4,29.8,,115,98.1,
Harvard,Chris Ledlum,29,1,466,9.6,22.8,0.421,7.7,15.9,0.484,1.9,6.9,0.273,5.2,8.5,0.618,13.8,2.6,1.2,2.2,5.9,5.5,26.3,,93.9,95.2,
Harvard,Chris Lewis,28,28,728,10.6,17.8,0.596,10.6,17.8,0.596,0,0,,4.1,6.2,0.667,13.2,1.8,2.2,3.5,4.2,6.1,25.4,,112.7,92.5,
Harvard,Noah Kirkwood,27,25,779,8.9,19.7,0.451,6,11.9,0.509,2.8,7.8,0.362,3.8,6.2,0.614,7.5,4.7,2.1,0.5,5.4,4.2,24.4,,99.1,97.6,
Harvard,Rio Haskett,29,6,507,7.2,17.2,0.42,3.4,7.4,0.462,3.8,9.7,0.388,2.5,3.3,0.759,4.6,2.9,2.9,0.2,3.5,6.1,20.7,,104.9,98.4,
Harvard,Mason Forbes,28,2,283,7.4,12.1,0.61,7.4,12.1,0.61,0,0,,5.7,9.8,0.583,11.9,2.1,1.2,3.7,1.4,8,20.5,,134.4,97.2,
Harvard,Danilo Djuricic,29,2,532,6.8,14.7,0.459,4.1,7.4,0.559,2.6,7.3,0.358,3.3,3.8,0.857,13.8,2.3,0.8,1.2,1.6,4.7,19.4,,126.9,97.8,
Harvard,Robert Baker,29,26,637,6.8,14.5,0.472,4.5,7.8,0.57,2.4,6.7,0.356,2.5,3,0.818,13.9,2,2.5,3.7,3.4,4.1,18.5,,107.9,89.5,
Harvard,Luka Sakota,20,1,140,5.8,15.3,0.378,2.5,5.8,0.429,3.3,9.5,0.348,2.5,3.3,0.75,5,3.7,0.4,0.4,4.6,7,17.4,,93.5,102.7,
Harvard,Ciaran Brayboy,6,0,17,3.4,6.8,0.5,3.4,6.8,0.5,0,0,,10.2,13.7,0.75,13.7,3.4,0,3.4,13.7,13.7,17.1,,68.5,93,
Harvard,Christian Juzang,25,18,621,5.2,15.1,0.348,2.7,6.1,0.446,2.5,9,0.281,2.7,3.5,0.784,5.9,6.5,1.3,0.2,3.1,3.6,15.7,,101.8,100.9,
Harvard,Kale Catchings,4,0,23,5,17.7,0.286,2.5,2.5,1,2.5,15.1,0.167,2.5,10.1,0.25,5,5,2.5,0,0,12.6,15.1,,88.4,97.5,
Harvard,Justin Bassey,29,29,809,4.6,11.3,0.408,3.2,6.2,0.517,1.4,5,0.271,2.9,4.2,0.707,11.4,3.6,1.8,0.3,3.7,3.7,13.5,,98.8,96.9,
Harvard,Tommy O'Neil,7,0,24,4.8,4.8,1,2.4,2.4,1,2.4,2.4,1,0,0,,14.5,2.4,4.8,0,0,7.3,12.1,,246.6,85.9,
Harvard,Henry Welsh,7,1,30,3.9,9.7,0.4,3.9,7.7,0.5,0,1.9,0,0,0,,9.7,1.9,0,3.9,0,5.8,7.7,,112.9,99,
Harvard,Reed Farley,2,0,4,0,14.5,0,0,0,,0,14.5,0,0,0,,0,0,0,0,0,0,0,,0,108,
Harvard,Spencer Freedman,1,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,,0,108,
Yale,Paul Atkinson,30,29,955,12.7,20.1,0.63,12.4,19.3,0.643,0.2,0.8,0.308,6.9,10.3,0.671,13.5,2.7,2.2,1.4,3.5,3.5,32.4,,124.1,91.8,
Yale,Michael Feinberg,11,0,46,10.2,15.3,0.667,7.7,10.2,0.75,2.6,5.1,0.5,8.9,12.8,0.7,19.1,6.4,0,0,5.1,8.9,31.9,,135,95.8,
Yale,Ed Jarvis,10,0,43,9.6,20.5,0.467,9.6,19.1,0.5,0,1.4,0,9.6,17.7,0.538,24.6,4.1,1.4,0,2.7,9.6,28.7,,115.8,92.1,
Yale,Azar Swain,29,29,971,9.4,24,0.393,3.8,9.5,0.401,5.6,14.5,0.388,3.6,4.4,0.822,7.1,3,1.1,0,3.1,1.6,28.1,,105.7,98.1,
Yale,Matthue Cotton,30,1,581,8.3,20.3,0.408,3.7,7.4,0.507,4.5,12.9,0.352,1.9,3.2,0.594,7.9,2.8,1.8,0.5,2.1,3.5,23,,106.5,95.5,
Yale,Jake Lanford,9,0,40,5.9,8.8,0.667,5.9,8.8,0.667,0,0,,8.8,11.7,0.75,14.7,4.4,1.5,0,4.4,5.9,20.5,,127.1,94.3,
Yale,Jordan Bruner,28,28,906,7.3,16.4,0.443,5.2,10,0.519,2.1,6.4,0.323,3.2,4.1,0.766,16.6,6.7,1.9,3.1,4.6,3.2,19.8,,106.2,87.6,
