Team,First_Name,Last_Name,Position,Height,Weight,2p_perc,3p_perc,ft_perc,ts,eFG,BPM,OBPM,DBPM
Penn,AJ,Brodeur,F,80,240,0.55,0.274,0.716,0.555,0.527,,,
Penn,Devon,Goodman,G,72,170,0.574,0.282,0.588,0.523,0.511,,,
Penn,Jordan,Dingle,G,75,200,0.516,0.339,0.583,0.563,0.545,,,
Penn,Ryan,Betley,G,77,200,0.553,0.36,0.781,0.617,0.604,,,
Penn,Max,Martz,F,78,210,0.54,0.432,0.824,0.521,,,,
Penn,Eddie,Scott,G,78,200,0.824,0.292,0.7,0.618,,,,
Penn,Lucas,Monroe,G,78,200,0.511,0.375,0.595,0.549,,,,
Penn,Ray,Jerome,G,74,190,0.467,0.296,0.75,0.493,,,,
Penn,Jarrod,Simmons,F,80,220,0.5,0.231,0.8,0.511,,,,
Penn,Bryce,Washington,G,76,180,0.6,0.25,1,0.469,,,,
Penn,Max,Lorca-Lloyd,C,81,210,0.545,NA,NA,0.545,,,,
Penn,Griffin,Ryan,G,77,215,0.5,0.5,0.333,0.553,,,,
Penn,Alex,Imegwu,G,78,205,NA,0.5,0.5,0.678,,,,
Penn,Mark,Jackson,C,87,260,NA,NA,0,0,,,,
Harvard,Noah,Kirkwood,G,79,215,,,,,,,,
Harvard,Chris,Lewis,F,81,235,,,,,,,,
Harvard,Chris,Ledlum,F,78,225,,,,,,,,
Harvard,Robert,Baker,F,83,205,,,,,,,,
Harvard,Justin,Bassey,G,77,215,,,,,,,,
Harvard,Rio,Haskett,G,75,195,,,,,,,,
Harvard,Danilo,Djuricic,F,80,215,,,,,,,,
Harvard,Christian,Juzang,G,74,175,,,,,,,,
Harvard,Bryce,Aiken,G,72,180,,,,,,,,
Harvard,Mason,Forbes,F,80,205,,,,,,,,
Harvard,Idan,Tretout,G,76,200,,,,,,,,
Harvard,Luka,Satoka,G,78,195,,,,,,,,
Harvard,Kale,Catchings,F,78,220,,,,,,,,
Harvard,Ciaran,Brayboy,F,81,230,,,,,,,,
Harvard,Tommy,O'Neil,F,80,210,,,,,,,,
Harvard,Henry,Welsh,F,82,250,,,,,,,,
Harvard,Reed,Farley,G,76,195,,,,,,,,
Harvard,Spencer,Freedman,G,72,170,,,,,,,,
Yale,Paul,Atkinson,F,82,220,,,,,,,,
Yale,Azar,Swain,G,72,185,,,,,,,,
Yale,Jordan,Bruner,F,82,225,,,,,,,,
Yale,Matthue,Cotton,G,77,200,,,,,,,,
Yale,Eric,Monroe,G,74,175,,,,,,,,
Yale,Jalen,Gabbidon,G,77,190,,,,,,,,
Yale,August,Mahoney,G,76,190,,,,,,,,
Yale,Wyatt,Yess,F,80,220,,,,,,,,
Yale,Jameel,Alausa,F,79,210,,,,,,,,
Yale,Eze,Dike,G,74,195,,,,,,,,
Yale,Austin,Williams,F,80,235,,,,,,,,
Yale,Michael,Feinberg,G,76,195,,,,,,,,
Yale,Isaiah,Kelly,F,79,215,,,,,,,,
Yale,Ed,Jarvis,F,80,220,,,,,,,,
Yale,Jake,Lanford,F,82,230,,,,,,,,
Columbia,Mike,Smith,G,71,185,,,,,,,,
Columbia,Ike,Nweke,F,79,240,,,,,,,,
Columbia,Jack,Forrest,G,77,200,,,,,,,,
Columbia,Jake,Killingsworth,G,77,205,,,,,,,,
Columbia,Tai,Bibbs,G,75,177,,,,,,,,
