Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Grambling,Ivy Smith,32,30,1042,17.7,0.514,0.425,0.288,0.595,434,0.9,11.1,6.1,29.1,4,0.8,19.5,22.4,,1.6,2,3.6,0.138,,-0.4,-0.2,-0.6
Grambling,Devante Jackson,32,30,862,18.8,0.559,0.532,0.082,0.312,381,7.3,15.3,11.4,10.6,0.5,2.6,12.9,23.7,,2,1.2,3.2,0.148,,-0.6,-2.4,-2.9
Grambling,Terreon Randolph,32,9,638,16.1,0.555,0.555,0.03,0.51,162,13.4,19.6,16.5,5.8,2.4,3.4,18.9,11.8,,0.9,1.3,2.2,0.136,,-1.1,-0.6,-1.8
Grambling,Prince Moss,31,20,698,13.1,0.494,0.462,0.394,0.208,237,3.4,13.2,8.4,8.4,1.7,1.8,11.3,20.5,,0.8,1.1,1.8,0.104,,-3.2,-1.8,-5
Grambling,Cam Christon,22,17,496,14.7,0.576,0.528,0.513,0.266,185,3.6,15.1,9.5,8.3,1.8,0.7,15.6,20.8,,0.9,0.8,1.7,0.136,,-1.6,-0.9,-2.5
Grambling,Travon Bunch,32,14,607,16.5,0.564,0.613,0.014,0.627,202,12.3,18.5,15.5,2.6,1.3,9.9,23.6,19.5,,0.4,1.3,1.6,0.106,,-5.1,-0.2,-5.2
Grambling,Kelton Edwards,29,14,619,14.2,0.517,0.507,0.321,0.16,214,5.2,9.2,7.2,6.5,1.7,1.8,12.3,20.6,,0.7,0.8,1.6,0.102,,-1.2,-2.3,-3.4
Grambling,Anthony Gaston,31,14,610,11,0.552,0.497,0.372,0.423,199,4.7,9.7,7.2,8.2,1.6,0.4,22.1,19.3,,0.5,0.8,1.3,0.083,,-4.3,-2.3,-6.6
Grambling,Trevell Cunningham,29,12,572,8.6,0.44,0.421,0.309,0.324,160,2.9,12.5,7.8,20.1,2.6,0.4,25.5,18.4,,-0.3,0.9,0.6,0.043,,-4.9,-0.6,-5.6
Grambling,Tra'michael Moton,5,0,57,33.8,0.675,0.618,0.176,0.647,29,4.2,12,8.1,22.2,8.8,0,11.9,21.7,,0.3,0.2,0.4,0.305,,-8,1.1,-6.9
Grambling,Josh Mullins,9,0,40,21.6,0.539,0.542,0.333,0.5,17,0,11.4,5.8,30,2.8,0,0,18.2,,0.1,0.1,0.2,0.21,,-8.5,-3.2,-11.7
Grambling,Dearius Henyard,6,0,18,22.9,0.611,0.611,0.889,0,8,0,31.5,16.1,0,0,0,0,24.5,,0.1,0,0.1,0.21,,-7.2,-6.1,-13.4
Grambling,Zahad Munford,15,0,111,5.9,0.362,0.324,0.824,0.118,24,2.1,15.3,8.9,3.1,1.5,1,5.3,16.7,,0,0.2,0.1,0.048,,-5.3,-2.2,-7.5
Grambling,Jay Head,4,0,23,3.6,0.38,0.333,0.333,0.667,3,0,9.9,5,7.2,2.4,0,20.2,10.5,,0,0,0,0.03,,-10.5,1.1,-9.4
Grambling,David Loville,2,0,7,4,0.333,0.333,0.667,0,2,0,32.5,16.6,0,0,0,0,21,,0,0,0,0.028,,-22.2,-6.9,-29.1
Montana_State,Harald Frey,31,31,1118,21.6,0.573,0.49,0.497,0.5,533,1.2,12.1,7,28.3,2.4,0.2,14.6,25,,3.3,1.6,4.9,0.175,,3.3,0.5,3.7
Montana_State,Jubrile Belo,31,31,811,24.8,0.66,0.612,0,0.786,386,10.1,18,14.3,6.3,1.2,5.4,17.4,24.3,,2.8,1.4,4.2,0.205,,1.3,0.7,2
Montana_State,Ladan Ricketts,31,24,790,8.4,0.588,0.565,0.812,0.117,162,0.3,9.7,5.4,3.5,0.6,0.4,11.9,12.4,,0.8,0.7,1.5,0.078,,-1.5,-1,-2.5
Montana_State,Amin Adamu,29,28,789,13.9,0.496,0.464,0.097,0.237,315,2.2,19.2,11.3,12.9,2.2,0.9,19.5,28.6,,-0.3,1.3,1.1,0.053,,-2.6,-0.2,-2.8
Montana_State,Borja Fernandez,30,3,515,11.5,0.552,0.545,0.346,0.203,153,3.7,18.1,11.4,10.2,0.9,0.5,19.4,18.6,,0.3,0.7,1,0.081,,-1.6,-0.2,-1.8
Montana_State,Devin Kirby,24,23,600,9.1,0.454,0.447,0,0.362,126,8.6,17.5,13.4,9.8,0.6,1.4,20.3,12.2,,0.2,0.8,1,0.066,,-2,0,-2
Montana_State,Mychael Paulo,31,10,784,8.6,0.492,0.477,0.463,0.226,195,0.8,7.4,4.3,14.6,2.2,1,21,16.7,,0,1,1,0.049,,-3.9,0,-3.9
Montana_State,Finn Fleute,23,0,177,7,0.48,0.486,0.143,0.4,42,9.3,10.5,10,2.3,1.3,2,20.9,15.7,,0,0.2,0.2,0.049,,-5.1,-0.1,-5.2
Montana_State,Caleb Bellach,25,0,168,4.9,0.376,0.319,0.5,0.306,31,3,15.7,9.8,2.3,1.7,0,12.7,14.9,,-0.1,0.2,0.1,0.023,,-5,0.1,-4.9
Montana_State,Quentin Guliford,6,0,40,14.5,0.583,0.583,0.333,0,8,3.2,11,7.3,14.8,4.4,0,14.3,9.3,,0.1,0.1,0.1,0.128,,-1.1,1.8,0.6
Montana_State,Zach Hobbs,18,0,119,1.1,0.341,0.333,0.875,0.083,18,0,12,6.4,11.1,2,1,26.5,15.1,,-0.2,0.2,-0.1,-0.027,,-10.8,-2.2,-13
Montana_State,Zeke Quinlan,21,5,289,3.7,0.396,0.358,0.328,0.433,68,5.2,19.3,12.8,6.2,2,1.6,27.7,20.5,,-0.6,0.5,-0.1,-0.016,,-8.3,0.5,-7.8
Howard,Charles Williams,33,31,1128,16.8,0.502,0.46,0.309,0.369,540,2.6,11.2,6.9,8.7,1.1,1.6,8.6,29,,1.8,0,1.8,0.064,,0,-4.8,-4.8
