Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,
Grambling,Dearius Henyard,6,0,18,12.4,27.8,0.444,3.1,3.1,1,9.3,24.8,0.375,0,0,,15.5,0,0,0,0,6.2,34,,125.7,96.1,
Grambling,Tra'michael Moton,5,0,57,9.8,16.6,0.588,8.8,13.7,0.643,1,2.9,0.333,8.8,10.7,0.818,7.8,5.9,8.8,0,2.9,4.9,29.3,,134.3,84,
Grambling,Devante Jackson,32,30,862,10.6,20.5,0.517,10,18.8,0.533,0.6,1.7,0.346,4.5,6.4,0.707,10.9,2.7,0.5,1.3,3.5,5.8,26.3,,109.8,100,
Grambling,Cam Christon,22,17,496,7.7,17.7,0.437,4.5,8.6,0.519,3.3,9.1,0.358,4.3,4.7,0.905,9.1,2.4,1.8,0.3,3.7,8,23,,108,97.9,
Grambling,Josh Mullins,9,0,40,8.4,16.7,0.5,7,11.1,0.625,1.4,5.6,0.25,4.2,8.4,0.5,5.6,8.4,2.8,0,0,5.6,22.3,,130.9,97.7,
Grambling,Kelton Edwards,29,14,619,8.5,19.1,0.443,6,13,0.465,2.4,6.1,0.397,1.9,3.1,0.618,6.9,1.8,1.7,0.9,2.9,3,21.2,,101.8,100.3,
Grambling,Ivy Smith,32,30,1042,6.1,16,0.381,4.7,11.4,0.413,1.4,4.6,0.302,7.5,9.5,0.787,5.9,8.8,4,0.4,5,3.6,21.1,,103,94.9,
Grambling,Prince Moss,31,20,698,7.7,18.8,0.411,5.8,11.4,0.51,1.9,7.4,0.258,3,3.9,0.776,8.1,2.4,1.7,0.9,2.6,4.9,20.4,,100.7,98.7,
Grambling,Travon Bunch,32,14,607,8,13,0.613,8,12.8,0.621,0,0.2,0,3.1,8.2,0.382,14.9,0.7,1.3,4.9,5.2,8.3,19.1,,95.1,93,
Grambling,Anthony Gaston,31,14,610,6.2,14.2,0.436,4.5,8.9,0.5,1.7,5.3,0.328,4.7,6,0.788,6.9,2.5,1.6,0.2,4.8,5,18.9,,97.6,101,
Grambling,David Loville,2,0,7,8,23.9,0.333,8,8,1,0,15.9,0,0,0,,15.9,0,0,0,0,8,15.9,,75.8,95.5,
Grambling,Trevell Cunningham,29,12,572,5.3,13.5,0.388,4.4,9.3,0.469,0.9,4.2,0.209,2.3,4.4,0.533,7.5,6.2,2.6,0.2,5.4,4.7,13.7,,83.1,97.5,
Grambling,Zahad Munford,15,0,111,4,17.1,0.235,1,3,0.333,3,14,0.214,2,2,1,8.5,1,1.5,0.5,1,3,13,,84.6,98.8,
Grambling,Terreon Randolph,32,9,638,4.8,8.7,0.55,4.7,8.5,0.557,0.1,0.3,0.333,2.4,4.5,0.529,15.9,1.8,2.4,1.7,2.5,4.5,12,,111.8,93.9,
Grambling,Jay Head,4,0,23,2.4,7.3,0.333,2.4,4.8,0.5,0,2.4,0,2.4,4.8,0.5,4.8,2.4,2.4,0,2.4,4.8,7.3,,74.6,99.2,
Montana_State,Jubrile Belo,31,31,811,9.9,16.2,0.612,9.9,16.2,0.612,0,0,,9.6,12.7,0.75,14.3,1.5,1.2,2.7,4.7,8.2,29.4,,118.6,97,
Montana_State,Harald Frey,31,31,1118,7.8,19.1,0.407,4.6,9.6,0.475,3.2,9.5,0.337,8.3,9.6,0.874,7,7.5,2.4,0.1,4,3,27.1,,113.3,99.8,
